Gene_Name	Normal_Score	Disease_Score	Association_Score	Association_Score_Scaled	Transcribed in normal/Disease
SVEP1	4	104	108	28.24	Disease
CHST1	12	96	108	28.24	Normal
C17orf48	26	82	108	28.24	Disease
ATPAF2	10	98	108	28.24	Disease
CDON	28	80	108	28.24	Disease
SLFN11	12	96	108	28.24	Disease
DEAF1	16	92	108	28.24	Disease
ZNF436	4	104	108	28.24	Disease
RGS1	26	82	108	28.24	Normal
ST3GAL4	4	104	108	28.24	Disease
ARID3A	38	70	108	28.24	Disease
STK17B	24	84	108	28.24	Disease
SPP1	22	86	108	28.24	Disease
LYSMD1	14	94	108	28.24	Disease
DFFB	30	78	108	28.24	Disease
THRB	12	96	108	28.24	Disease
FAM24B	16	92	108	28.24	Disease
SNHG4	8	100	108	28.24	Disease
PAX6	42	66	108	28.24	Disease
MAPK12	44	64	108	28.24	Disease
PLEKHG4B	16	92	108	28.24	Disease
LRCH1	32	76	108	28.24	Disease
LOC148413	12	96	108	28.24	Disease
ADAM19	6	102	108	28.24	Disease
TBX10	38	70	108	28.24	Disease
SH3BP5L	12	96	108	28.24	Disease
CHCHD6	16	92	108	28.24	Disease
NDRG4	20	86	106	27.71	Normal
ZNF626	10	96	106	27.71	Normal
LOC283387	4	102	106	27.71	Normal
NEUROD2	2	104	106	27.71	Normal
WNT4	8	98	106	27.71	Normal
FGL2	24	82	106	27.71	Normal
TRBC1	40	66	106	27.71	Normal
PI16	2	104	106	27.71	Normal
DKFZp451B082	16	90	106	27.71	Normal
MSX2	12	94	106	27.71	Disease
OSBPL6	6	100	106	27.71	Disease
TANC2	22	84	106	27.71	Disease
DBF4B	28	78	106	27.71	Disease
SETD4	32	74	106	27.71	Disease
PRR5L	30	76	106	27.71	Disease
H2AFJ	6	100	106	27.71	Disease
ZNF142	22	84	106	27.71	Disease
SEPT3	16	90	106	27.71	Disease
C9orf142	12	94	106	27.71	Disease
ATP13A2	40	66	106	27.71	Disease
NEK8	12	94	106	27.71	Disease
TCP11L1	36	70	106	27.71	Disease
VASN	14	92	106	27.71	Disease
SLC24A6	42	64	106	27.71	Disease
DLX1	16	90	106	27.71	Disease
DZIP1L	2	104	106	27.71	Disease
CLGN	40	66	106	27.71	Disease
HSD17B14	40	66	106	27.71	Disease
TBC1D24	12	94	106	27.71	Disease
STEAP2	12	94	106	27.71	Disease
REG3A	2	102	104	27.19	Normal
KLK10	30	74	104	27.19	Normal
KRTDAP	16	88	104	27.19	Normal
PRAC	14	90	104	27.19	Normal
RFESD	10	94	104	27.19	Disease
PAPPA2	6	98	104	27.19	Disease
DUSP8	24	80	104	27.19	Disease
HABP4	26	78	104	27.19	Disease
ABCA17P	10	94	104	27.19	Disease
PLEKHM2	16	88	104	27.19	Disease
SUGT1L1	8	96	104	27.19	Disease
TCIRG1	4	100	104	27.19	Disease
TRIM36	38	66	104	27.19	Disease
VAC14	44	60	104	27.19	Disease
SLC25A23	32	72	104	27.19	Disease
MPP6	40	64	104	27.19	Disease
HSPA12A	20	84	104	27.19	Disease
CDKL3	20	84	104	27.19	Disease
LSM14B	42	62	104	27.19	Disease
RAB4B	32	72	104	27.19	Disease
C11orf46	16	88	104	27.19	Disease
SCAND3	8	96	104	27.19	Disease
BCAT1	32	72	104	27.19	Disease
DKFZp761E198	16	88	104	27.19	Disease
OLFM1	8	96	104	27.19	Disease
SLC25A21	18	86	104	27.19	Disease
NEURL4	12	92	104	27.19	Disease
KIT	4	98	102	26.67	Normal
PLEKHA7	8	94	102	26.67	Disease
SPTA1	6	96	102	26.67	Normal
C20orf70	2	100	102	26.67	Normal
RASAL1	28	74	102	26.67	Normal
RUNDC3B	10	92	102	26.67	Normal
S100A7	36	66	102	26.67	Normal
CXCL14	42	60	102	26.67	Normal
CYP4B1	36	66	102	26.67	Normal
TADA2L	6	96	102	26.67	Disease
C1orf226	16	86	102	26.67	Disease
NUDT14	16	86	102	26.67	Disease
OSBPL7	34	68	102	26.67	Disease
ZDHHC12	14	88	102	26.67	Disease
	16	86	102	26.67	Disease
COQ10A	12	90	102	26.67	Disease
TFPI2	40	62	102	26.67	Disease
OR7D2	12	90	102	26.67	Disease
POP1	34	68	102	26.67	Disease
GPR37	38	64	102	26.67	Disease
PGBD3	16	86	102	26.67	Disease
IL28RA	4	98	102	26.67	Disease
TNFRSF11A	12	90	102	26.67	Disease
LHX6	28	74	102	26.67	Disease
SLC36A4	16	86	102	26.67	Disease
FUT6	20	82	102	26.67	Normal
GABBR1	8	94	102	26.67	Normal
TOR1AIP2	14	88	102	26.67	Disease
ITM2A	40	62	102	26.67	Normal
ZNF74	14	86	100	26.14	Disease
TRPV1	20	80	100	26.14	Disease
DCAKD	40	60	100	26.14	Disease
MICALL2	24	76	100	26.14	Disease
CTDP1	40	60	100	26.14	Disease
C6orf170	2	98	100	26.14	Disease
LOC284440	10	90	100	26.14	Disease
CABYR	42	58	100	26.14	Disease
MCOLN1	38	62	100	26.14	Disease
LOC344887	4	96	100	26.14	Disease
RPTOR	16	84	100	26.14	Disease
	28	72	100	26.14	Disease
CA9	34	66	100	26.14	Disease
CALCRL	12	88	100	26.14	Normal
PKP1	32	68	100	26.14	Normal
MAGEE1	6	92	98	25.62	Disease
KDR	14	84	98	25.62	Normal
ZNF502	8	90	98	25.62	Disease
PAX9	10	88	98	25.62	Disease
PIK3C2B	6	92	98	25.62	Disease
CCDC8	6	92	98	25.62	Disease
HSD17B6	18	80	98	25.62	Disease
ATHL1	26	72	98	25.62	Disease
RSAD2	36	62	98	25.62	Disease
PPP2R5B	26	72	98	25.62	Disease
ABI3BP	6	92	98	25.62	Normal
ADAMTS3	20	78	98	25.62	Disease
	6	92	98	25.62	Normal
IL1A	20	78	98	25.62	Disease
NFATC4	12	86	98	25.62	Disease
SUPT3H	34	64	98	25.62	Disease
C14orf102	34	64	98	25.62	Disease
OR7E24	16	82	98	25.62	Normal
C4orf14	16	82	98	25.62	Disease
C6orf105	16	82	98	25.62	Disease
	2	96	98	25.62	Disease
CYSLTR1	4	92	96	25.1	Disease
ENPP4	26	70	96	25.1	Disease
CTHRC1	12	84	96	25.1	Disease
SLC5A5	12	84	96	25.1	Disease
LRTOMT	8	88	96	25.1	Disease
NPNT	6	90	96	25.1	Disease
STMN3	14	82	96	25.1	Disease
RANBP17	36	60	96	25.1	Disease
CITED4	16	80	96	25.1	Disease
GHDC	16	80	96	25.1	Disease
DNAL4	34	62	96	25.1	Disease
MRAS	44	52	96	25.1	Disease
TTC12	22	74	96	25.1	Disease
MAP2K5	18	78	96	25.1	Disease
MARCH2	30	66	96	25.1	Disease
C17orf28	4	92	96	25.1	Disease
CCDC57	42	54	96	25.1	Disease
C17orf100	2	94	96	25.1	Disease
CPS1	4	92	96	25.1	Disease
GNG4	6	90	96	25.1	Disease
ST3GAL2	30	66	96	25.1	Disease
LOC439911	16	80	96	25.1	Disease
LRIG1	22	74	96	25.1	Disease
CADM4	36	60	96	25.1	Disease
KRTAP4-2	2	94	96	25.1	Normal
SNX22	2	94	96	25.1	Normal
NCF2	2	94	96	25.1	Normal
NCRNA00168	10	86	96	25.1	Normal
PNPLA5	4	90	94	24.57	Normal
PIK3R6	2	92	94	24.57	Normal
BNC2	4	90	94	24.57	Disease
SLC9A8	28	66	94	24.57	Disease
PLD2	4	90	94	24.57	Disease
SERGEF	12	82	94	24.57	Disease
PRKCD	12	82	94	24.57	Disease
DGKH	16	78	94	24.57	Disease
TAS2R50	10	84	94	24.57	Disease
NOD1	18	76	94	24.57	Disease
OXTR	12	82	94	24.57	Disease
ERO1LB	24	70	94	24.57	Disease
C1orf159	12	82	94	24.57	Disease
SLC45A3	12	82	94	24.57	Disease
TRAF3IP3	24	70	94	24.57	Disease
PCDHB10	4	90	94	24.57	Disease
LOC646903	4	90	94	24.57	Disease
SALL3	10	84	94	24.57	Normal
DNAI1	22	72	94	24.57	Disease
HOPX	40	54	94	24.57	Normal
LOC339400	10	84	94	24.57	Normal
CYP11B1	2	92	94	24.57	Normal
GIMAP6	4	90	94	24.57	Normal
NDUFA4L2	12	82	94	24.57	Normal
TRIB2	4	90	94	24.57	Disease
CLEC7A	34	60	94	24.57	Normal
CHI3L1	14	80	94	24.57	Normal
SULF1	24	70	94	24.57	Normal
CHMP6	28	64	92	24.05	Disease
LOC339290	6	86	92	24.05	Disease
NBPF8	12	80	92	24.05	Disease
ARL8A	16	76	92	24.05	Disease
SERPINB8	16	76	92	24.05	Disease
REXO1	6	86	92	24.05	Disease
KCNIP1	14	78	92	24.05	Disease
CASP10	22	70	92	24.05	Disease
BTN3A1	8	84	92	24.05	Disease
GREB1L	12	80	92	24.05	Disease
CABLES1	6	86	92	24.05	Disease
ZBTB22	6	86	92	24.05	Disease
FGF7	4	88	92	24.05	Normal
C20orf196	8	84	92	24.05	Disease
SORCS1	8	82	90	23.52	Disease
SYPL2	6	84	90	23.52	Disease
LYSMD4	8	82	90	23.52	Disease
HSPA1A	2	88	90	23.52	Disease
SPATA6	20	70	90	23.52	Disease
UCHL1	28	62	90	23.52	Disease
SEL1L3	12	78	90	23.52	Disease
PNPLA4	36	54	90	23.52	Disease
FLJ42709	12	78	90	23.52	Disease
TMEM194B	6	84	90	23.52	Disease
HOXD10	12	78	90	23.52	Disease
DAB2IP	8	82	90	23.52	Disease
INSL3	22	68	90	23.52	Disease
ACADS	16	74	90	23.52	Disease
LOC284023	8	82	90	23.52	Disease
LRRC3B	2	88	90	23.52	Normal
ZNF23	34	56	90	23.52	Disease
C10orf99	16	74	90	23.52	Normal
LRRC61	38	52	90	23.52	Disease
PTPRC	40	50	90	23.52	Normal
KRT24	10	80	90	23.52	Normal
TBC1D25	10	80	90	23.52	Normal
TRPM3	16	74	90	23.52	Normal
SLC24A3	42	48	90	23.52	Normal
ZSCAN18	8	82	90	23.52	Normal
PHACTR3	2	88	90	23.52	Normal
COX6A2	30	60	90	23.52	Normal
LOC647500	14	76	90	23.52	Normal
GJD3	8	82	90	23.52	Normal
FIBIN	16	74	90	23.52	Normal
CCDC33	24	66	90	23.52	Disease
PSKH1	4	86	90	23.52	Disease
PPP1R14C	4	84	88	23.0	Disease
KCNS3	6	82	88	23.0	Disease
GJB5	12	76	88	23.0	Normal
FAM83C	16	72	88	23.0	Normal
AQP1	40	48	88	23.0	Normal
SAMD3	10	78	88	23.0	Normal
OR8D1	4	84	88	23.0	Normal
NBR2	36	52	88	23.0	Disease
C14orf182	12	76	88	23.0	Normal
C14orf82	8	80	88	23.0	Disease
RRP12	16	72	88	23.0	Disease
CDH22	12	76	88	23.0	Disease
COBL	24	64	88	23.0	Disease
ZNF574	34	54	88	23.0	Disease
	14	74	88	23.0	Normal
RUNX2	20	68	88	23.0	Disease
GPRC5C	32	56	88	23.0	Disease
DKFZp547G183	6	82	88	23.0	Disease
VEGFC	20	68	88	23.0	Disease
TLE6	40	48	88	23.0	Disease
MYOM3	16	72	88	23.0	Disease
LTB	6	82	88	23.0	Disease
SNX8	14	74	88	23.0	Disease
FAM53A	2	86	88	23.0	Disease
H2AFY2	42	46	88	23.0	Disease
EXOG	40	48	88	23.0	Disease
JMJD4	36	52	88	23.0	Disease
ADPRH	14	72	86	22.48	Disease
LOC254057	16	70	86	22.48	Disease
SLC16A9	14	72	86	22.48	Normal
IFT172	8	78	86	22.48	Disease
	4	82	86	22.48	Normal
NT5C1B	2	84	86	22.48	Normal
ARL17	10	76	86	22.48	Disease
CAPNS2	16	70	86	22.48	Normal
LOC100131303	4	82	86	22.48	Normal
POLD4	24	62	86	22.48	Disease
HCN4	12	74	86	22.48	Disease
ZDHHC9	12	74	86	22.48	Disease
TRIM56	16	70	86	22.48	Disease
ATXN7L3	8	78	86	22.48	Disease
ALG12	34	52	86	22.48	Disease
C21orf56	12	74	86	22.48	Disease
ATG9B	12	72	84	21.95	Normal
L3MBTL4	8	76	84	21.95	Normal
HRH4	20	64	84	21.95	Normal
LOC283050	6	78	84	21.95	Normal
CXCL10	22	62	84	21.95	Normal
IVL	40	44	84	21.95	Normal
LRRC15	8	76	84	21.95	Normal
LOC84740	10	74	84	21.95	Disease
KCNN4	44	40	84	21.95	Disease
PUS7L	14	70	84	21.95	Disease
RNASEL	18	66	84	21.95	Disease
ARSG	14	70	84	21.95	Disease
CYP24A1	18	66	84	21.95	Disease
LOC375010	2	82	84	21.95	Disease
ZNF250	22	62	84	21.95	Disease
ZNF775	16	68	84	21.95	Disease
LOC730139	16	68	84	21.95	Disease
LATS1	20	64	84	21.95	Disease
HELB	16	68	84	21.95	Disease
ARSJ	28	56	84	21.95	Disease
DMAP1	14	70	84	21.95	Disease
PRR7	42	42	84	21.95	Disease
LMAN2L	38	46	84	21.95	Disease
STX11	24	60	84	21.95	Disease
BNIPL	16	66	82	21.43	Normal
TMPRSS11B	16	66	82	21.43	Normal
EVI2B	24	58	82	21.43	Normal
	2	80	82	21.43	Normal
LOC729839	8	74	82	21.43	Disease
LOC554206	8	74	82	21.43	Disease
SAMD13	16	66	82	21.43	Disease
ETV3	20	62	82	21.43	Disease
DYSFIP1	6	76	82	21.43	Disease
SETBP1	6	76	82	21.43	Disease
FST	6	76	82	21.43	Disease
LOC158402	8	74	82	21.43	Disease
MSLN	44	38	82	21.43	Disease
GATS	16	66	82	21.43	Disease
BRUNOL4	16	66	82	21.43	Disease
C19orf39	6	76	82	21.43	Disease
CHST10	8	74	82	21.43	Disease
MAP6D1	34	48	82	21.43	Disease
TMPRSS4	26	56	82	21.43	Disease
SEMA6A	24	56	80	20.9	Normal
LRFN4	42	38	80	20.9	Disease
GCNT1	16	64	80	20.9	Disease
CD300LG	4	76	80	20.9	Normal
S100A12	40	40	80	20.9	Normal
ONECUT2	40	40	80	20.9	Disease
ENPP3	2	78	80	20.9	Normal
MAGOH2	6	74	80	20.9	Disease
MUC17	8	72	80	20.9	Disease
GPC4	30	50	80	20.9	Disease
PPM1E	36	44	80	20.9	Disease
CCDC23	10	70	80	20.9	Disease
IL15RA	28	52	80	20.9	Disease
PRR15	16	64	80	20.9	Disease
FAM54B	16	64	80	20.9	Disease
KCNE3	14	66	80	20.9	Disease
FAM161B	4	76	80	20.9	Disease
BEX1	22	58	80	20.9	Disease
EDIL3	6	74	80	20.9	Disease
DZIP1	22	58	80	20.9	Disease
MAGEB2	4	76	80	20.9	Disease
PGM3	30	50	80	20.9	Disease
RIPK3	8	72	80	20.9	Disease
PTPRG	26	54	80	20.9	Disease
IQSEC1	6	74	80	20.9	Disease
MAML3	12	66	78	20.38	Disease
N6AMT2	8	70	78	20.38	Disease
CGN	8	70	78	20.38	Disease
LOC285638	16	62	78	20.38	Disease
ZNF670	16	62	78	20.38	Disease
CDC14A	8	70	78	20.38	Disease
RASL11B	10	68	78	20.38	Disease
AMIGO1	12	66	78	20.38	Disease
LLGL1	36	42	78	20.38	Disease
CYP2B6	22	56	78	20.38	Disease
TOE1	38	40	78	20.38	Disease
POLR3D	42	36	78	20.38	Disease
C19orf28	38	40	78	20.38	Disease
HLA-DRA	14	64	78	20.38	Normal
RPTN	4	74	78	20.38	Normal
CH25H	20	58	78	20.38	Normal
INPP5D	4	74	78	20.38	Normal
SPINK6	8	70	78	20.38	Normal
SPAG4	40	38	78	20.38	Disease
E2F5	40	38	78	20.38	Disease
SOX6	8	68	76	19.86	Disease
SRC	26	50	76	19.86	Disease
RNF182	10	66	76	19.86	Disease
KLC2	42	34	76	19.86	Disease
SLC12A3	10	66	76	19.86	Disease
APH1B	20	56	76	19.86	Disease
ENPP5	2	74	76	19.86	Disease
EEPD1	8	68	76	19.86	Disease
SCNM1	34	42	76	19.86	Disease
	30	46	76	19.86	Disease
	30	46	76	19.86	Disease
CTXN1	16	60	76	19.86	Disease
CDK3	20	56	76	19.86	Disease
C1orf31	16	60	76	19.86	Disease
INA	8	68	76	19.86	Disease
SPARCL1	40	36	76	19.86	Normal
LOC84989	4	72	76	19.86	Disease
LY96	8	68	76	19.86	Normal
SYT1	12	64	76	19.86	Normal
MNDA	12	64	76	19.86	Normal
GIMAP7	4	72	76	19.86	Normal
IFNA16	16	60	76	19.86	Normal
FLJ31485	14	62	76	19.86	Normal
WFDC5	12	64	76	19.86	Normal
LY6D	40	36	76	19.86	Normal
LOC201229	18	58	76	19.86	Disease
SYTL3	8	68	76	19.86	Disease
PTPRZ1	40	36	76	19.86	Normal
BDNF	32	42	74	19.33	Disease
PTPN7	6	68	74	19.33	Disease
KIFC2	8	66	74	19.33	Disease
DOK3	12	62	74	19.33	Disease
CNNM4	34	40	74	19.33	Disease
KLK3	36	38	74	19.33	Disease
DNM1	26	48	74	19.33	Disease
EID3	8	66	74	19.33	Disease
LCN10	2	72	74	19.33	Disease
DHX37	12	62	74	19.33	Disease
SDK1	4	70	74	19.33	Disease
PACSIN3	38	36	74	19.33	Disease
BEND7	6	68	74	19.33	Disease
PLCL2	16	58	74	19.33	Disease
EDNRB	28	46	74	19.33	Normal
FOSB	32	42	74	19.33	Normal
SFRP2	4	70	74	19.33	Normal
OSCP1	8	66	74	19.33	Normal
C3orf49	16	58	74	19.33	Normal
EVC2	2	72	74	19.33	Normal
ANGPTL4	2	72	74	19.33	Normal
RASGRP2	2	72	74	19.33	Normal
TSPYL5	18	56	74	19.33	Normal
LRRC38	12	60	72	18.81	Disease
CALB1	14	58	72	18.81	Disease
SIPA1	34	38	72	18.81	Disease
OR7E156P	38	34	72	18.81	Disease
STXBP6	4	68	72	18.81	Disease
MMP11	14	58	72	18.81	Disease
COL25A1	2	70	72	18.81	Disease
ELFN2	16	56	72	18.81	Disease
CCNT1	42	30	72	18.81	Disease
SMAD9	24	48	72	18.81	Disease
HMX2	10	62	72	18.81	Disease
PPIL2	8	64	72	18.81	Disease
MIPOL1	16	56	72	18.81	Disease
PDXP	16	56	72	18.81	Disease
RP11-35N6.1	18	54	72	18.81	Disease
TSC22D4	34	38	72	18.81	Disease
LOC151009	6	66	72	18.81	Disease
SRRM3	8	64	72	18.81	Disease
STC1	8	64	72	18.81	Disease
CYP2S1	8	64	72	18.81	Disease
LOC340239	12	60	72	18.81	Disease
LOC728353	2	70	72	18.81	Normal
LCP2	20	52	72	18.81	Normal
KLK5	30	42	72	18.81	Normal
GPRASP2	14	56	70	18.29	Disease
GJA3	16	54	70	18.29	Disease
KIAA0427	28	42	70	18.29	Disease
C12orf60	10	60	70	18.29	Disease
SLC6A13	34	36	70	18.29	Disease
CLSPN	28	42	70	18.29	Disease
LOC652993	2	68	70	18.29	Disease
GALNT6	26	44	70	18.29	Disease
	16	54	70	18.29	Disease
ZNF141	32	38	70	18.29	Disease
GLT25D2	10	60	70	18.29	Disease
LMTK3	12	58	70	18.29	Disease
FAM73B	8	62	70	18.29	Disease
ESPN	2	68	70	18.29	Disease
BAALC	28	42	70	18.29	Disease
TRIM47	12	58	70	18.29	Disease
ZSWIM1	32	38	70	18.29	Disease
SPN	36	34	70	18.29	Disease
PNPLA2	34	36	70	18.29	Disease
LRRC6	24	46	70	18.29	Disease
C19orf46	12	58	70	18.29	Disease
ANG	12	58	70	18.29	Normal
SFTA2	4	66	70	18.29	Normal
ZNF333	14	56	70	18.29	Normal
LOC284385	10	60	70	18.29	Normal
RNF157	16	52	68	17.76	Disease
ATP6V1G2	12	56	68	17.76	Normal
MECP2	28	40	68	17.76	Disease
CBX7	24	44	68	17.76	Disease
CYP8B1	4	64	68	17.76	Normal
C14orf93	4	64	68	17.76	Disease
PLXDC2	8	60	68	17.76	Disease
TOR2A	16	52	68	17.76	Disease
ORAI1	16	52	68	17.76	Disease
S1PR5	34	34	68	17.76	Disease
JAK3	22	46	68	17.76	Disease
DMRTA2	16	52	68	17.76	Disease
ZNF607	12	56	68	17.76	Disease
ABCC6	14	54	68	17.76	Disease
FCER1A	34	34	68	17.76	Normal
STRN	22	46	68	17.76	Normal
NR3C2	14	54	68	17.76	Normal
ITGA11	8	60	68	17.76	Normal
CFD	32	36	68	17.76	Normal
KRT16	40	28	68	17.76	Normal
NTM	26	40	66	17.24	Disease
NUDT2	32	34	66	17.24	Disease
LZTS1	22	44	66	17.24	Disease
PLCB3	24	42	66	17.24	Disease
C2orf63	8	58	66	17.24	Disease
ITGBL1	6	60	66	17.24	Normal
LOC375190	2	64	66	17.24	Disease
TMEM140	4	62	66	17.24	Normal
MGC16075	10	56	66	17.24	Normal
IL17D	4	62	66	17.24	Normal
SDC3	40	26	66	17.24	Disease
PRDM1	18	48	66	17.24	Normal
TLR4	8	58	66	17.24	Disease
ZNF718	12	54	66	17.24	Disease
LOC100130219	8	58	66	17.24	Disease
ZNF571	12	54	66	17.24	Disease
FAM46C	26	40	66	17.24	Disease
TMEM143	36	30	66	17.24	Disease
HOXA6	36	30	66	17.24	Disease
LENG1	16	50	66	17.24	Disease
C9orf103	16	50	66	17.24	Disease
SLC35E4	4	60	64	16.71	Disease
LOC90462	8	56	64	16.71	Disease
LRRC23	16	48	64	16.71	Disease
SLC13A4	16	48	64	16.71	Normal
ALPK1	18	46	64	16.71	Disease
LOC389834	12	52	64	16.71	Disease
MAMLD1	18	46	64	16.71	Disease
C5orf55	16	48	64	16.71	Disease
ZFAND2B	12	52	64	16.71	Disease
PPIL6	24	40	64	16.71	Disease
CRIP1	18	46	64	16.71	Disease
LOC284926	8	56	64	16.71	Disease
GGT7	16	48	64	16.71	Disease
SLC8A1	14	50	64	16.71	Disease
GIMAP8	4	60	64	16.71	Normal
FLJ43663	6	58	64	16.71	Disease
LTBP4	12	52	64	16.71	Disease
LOC728705	8	56	64	16.71	Disease
IL1RAPL1	18	46	64	16.71	Normal
FXYD2	8	56	64	16.71	Normal
HPGD	40	24	64	16.71	Normal
LOC286208	8	56	64	16.71	Normal
SLCO2A1	8	56	64	16.71	Normal
ABCG4	2	62	64	16.71	Normal
GIPC2	26	38	64	16.71	Normal
LOC387723	6	58	64	16.71	Normal
XYLT1	38	26	64	16.71	Normal
C12orf54	16	48	64	16.71	Normal
FLJ38717	12	52	64	16.71	Disease
PRKY	6	56	62	16.19	Disease
TMUB1	16	46	62	16.19	Disease
DDIT3	40	22	62	16.19	Disease
TMEM104	22	40	62	16.19	Disease
C6orf146	4	58	62	16.19	Normal
SEMA4A	40	22	62	16.19	Normal
SDPR	16	46	62	16.19	Normal
SYT9	2	60	62	16.19	Normal
DKK2	14	48	62	16.19	Normal
INHA	10	52	62	16.19	Normal
SLFN12	26	36	62	16.19	Disease
PTGER3	36	26	62	16.19	Normal
RGS16	20	42	62	16.19	Disease
PHF7	30	32	62	16.19	Disease
DKFZp686L14188	12	50	62	16.19	Disease
SOCS1	26	36	62	16.19	Disease
PDGFRL	10	52	62	16.19	Disease
RAD52	24	38	62	16.19	Disease
ABCC9	10	52	62	16.19	Disease
ARHGEF19	8	54	62	16.19	Disease
STK11	14	46	60	15.67	Disease
	4	56	60	15.67	Normal
LOC286135	2	58	60	15.67	Normal
FAM20A	16	44	60	15.67	Normal
GPRASP1	2	58	60	15.67	Normal
SATB1	40	20	60	15.67	Normal
AP4M1	40	20	60	15.67	Disease
OTUB2	2	58	60	15.67	Disease
NMNAT3	12	48	60	15.67	Disease
BTBD12	16	44	60	15.67	Disease
DNAH5	16	44	60	15.67	Disease
ZNF114	12	48	60	15.67	Disease
LOC730092	6	54	60	15.67	Disease
VHL	32	28	60	15.67	Disease
ZNF557	32	28	60	15.67	Disease
LOC729806	34	26	60	15.67	Disease
ANKRD16	16	44	60	15.67	Disease
ZDHHC24	36	24	60	15.67	Disease
GYG2	22	38	60	15.67	Disease
NR4A3	14	46	60	15.67	Disease
PPARG	36	24	60	15.67	Disease
SYNGR3	42	18	60	15.67	Disease
ZNF347	16	42	58	15.14	Disease
CSF2RB	18	40	58	15.14	Normal
STX19	12	46	58	15.14	Normal
EVPLL	16	42	58	15.14	Normal
GBP6	16	42	58	15.14	Normal
IL33	12	46	58	15.14	Normal
LOC134466	8	50	58	15.14	Normal
PVRL1	6	52	58	15.14	Normal
ABCA12	18	40	58	15.14	Normal
C9orf122	8	50	58	15.14	Disease
CASC2	10	48	58	15.14	Disease
SHE	12	46	58	15.14	Disease
SYT17	40	18	58	15.14	Disease
WDR72	8	50	58	15.14	Disease
ABCB8	30	28	58	15.14	Disease
C1orf89	38	20	58	15.14	Disease
CD274	6	52	58	15.14	Disease
RYR1	20	38	58	15.14	Disease
SNHG10	12	46	58	15.14	Disease
LOC400684	8	50	58	15.14	Disease
LOC284805	4	54	58	15.14	Disease
TAS2R14	30	28	58	15.14	Disease
ZNF177	14	44	58	15.14	Disease
MMACHC	44	14	58	15.14	Disease
ZNF658	12	46	58	15.14	Disease
C16orf45	2	56	58	15.14	Disease
PRAME	28	28	56	14.62	Disease
TRAM1L1	4	52	56	14.62	Disease
KIAA1467	28	28	56	14.62	Disease
ROPN1	2	54	56	14.62	Disease
LDB3	42	14	56	14.62	Disease
HIST1H2BC	16	40	56	14.62	Disease
TMEM17	12	44	56	14.62	Disease
FLJ39653	16	40	56	14.62	Disease
ACAA2	22	34	56	14.62	Disease
CNR2	16	40	56	14.62	Normal
PSG9	10	46	56	14.62	Normal
NFAM1	8	48	56	14.62	Normal
DAPL1	16	40	56	14.62	Normal
APOBEC3A	34	22	56	14.62	Normal
CRYAB	34	22	56	14.62	Normal
SPNS2	10	44	54	14.1	Normal
HCG11	16	38	54	14.1	Disease
HABP2	8	46	54	14.1	Disease
ProSAPiP1	26	28	54	14.1	Disease
PMP2	20	34	54	14.1	Disease
GAMT	22	32	54	14.1	Disease
SPEG	32	22	54	14.1	Disease
LOC284952	16	38	54	14.1	Disease
CERCAM	16	38	54	14.1	Disease
RWDD2A	42	12	54	14.1	Disease
MAP3K7IP1	28	26	54	14.1	Disease
LOC338579	12	42	54	14.1	Disease
SLC25A25	8	46	54	14.1	Disease
LOC440345	24	30	54	14.1	Disease
IFT140	34	20	54	14.1	Disease
KRT8P12	6	48	54	14.1	Disease
PRSS21	42	12	54	14.1	Disease
FRMD3	4	50	54	14.1	Disease
SH3BGRL2	12	42	54	14.1	Disease
ZNF750	42	12	54	14.1	Normal
ARNT2	40	14	54	14.1	Disease
C8orf44	10	44	54	14.1	Disease
ZNF79	36	18	54	14.1	Disease
LOC284837	8	46	54	14.1	Normal
EBF3	12	42	54	14.1	Normal
C7orf52	16	38	54	14.1	Normal
	12	42	54	14.1	Normal
POF1B	42	12	54	14.1	Normal
LAMB2L	10	44	54	14.1	Normal
ADAM23	28	26	54	14.1	Normal
GABRP	6	48	54	14.1	Normal
COL1A2	40	14	54	14.1	Normal
LOC100131112	4	50	54	14.1	Normal
TLR1	12	42	54	14.1	Normal
KIAA1462	10	44	54	14.1	Normal
BTBD9	10	44	54	14.1	Normal
KCNJ2	36	16	52	13.57	Normal
KLHL35	38	14	52	13.57	Disease
P2RX5	44	8	52	13.57	Disease
POLR3A	16	36	52	13.57	Disease
PDZK1P1	10	42	52	13.57	Disease
LOC401321	10	42	52	13.57	Disease
ASTE1	40	12	52	13.57	Disease
SLC4A5	16	36	52	13.57	Disease
TCAM1	16	36	52	13.57	Disease
COL4A6	8	44	52	13.57	Disease
PRODH	24	28	52	13.57	Disease
ADAL	2	50	52	13.57	Disease
GPR116	18	34	52	13.57	Normal
ARL15	10	42	52	13.57	Disease
CLCF1	32	20	52	13.57	Disease
ST6GALNAC1	16	36	52	13.57	Disease
CCL3	2	50	52	13.57	Disease
WDR93	12	40	52	13.57	Normal
LOC285205	4	48	52	13.57	Normal
TREML4	6	46	52	13.57	Normal
OSBP2	36	16	52	13.57	Disease
ZNF280B	38	14	52	13.57	Disease
C1QTNF6	16	36	52	13.57	Disease
CD68	2	50	52	13.57	Disease
RNF144A	32	20	52	13.57	Disease
DKFZp434F142	4	48	52	13.57	Disease
CCDC68	40	12	52	13.57	Disease
CABLES2	16	36	52	13.57	Disease
